stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake
alencon,verb-form,False,,alenconed alenconing,2,twl_scrabble_dictionary
alert,gerund-plural,True,ansv,alertings,1,twl_scrabble_dictionary
alfuzosin,plural,False,,alfuzosins,1,
alfuzosin,verb-form,False,,alfuzosined alfuzosining,2,
alginates,verb-form,False,,alginatesed alginatesing,2,twl_scrabble_dictionary
algometer,verb-form,True,n,algometered algometering,2,twl_scrabble_dictionary
algor,verb-form,False,,algored algoring,2,twl_scrabble_dictionary
alibi,gerund-plural,True,nv,alibiings,1,twl_scrabble_dictionary
aliment,gerund-plural,True,nv,alimentings,1,twl_scrabble_dictionary
aline,gerund-plural,True,v,alinings,1,twl_scrabble_dictionary
alkalify,gerund-plural,True,v,alkalifyings,1,twl_scrabble_dictionary
alkalinize,gerund-plural,True,v,alkalinizings,1,twl_scrabble_dictionary
alkalis,gerund-plural,True,n,alkalisings,1,twl_scrabble_dictionary
alkalize,gerund-plural,True,v,alkalizings,1,twl_scrabble_dictionary
alkaloid,verb-form,True,n,alkaloided alkaloiding,2,twl_scrabble_dictionary
alkoxide,verb-form,False,,alkoxided alkoxiding,2,twl_scrabble_dictionary
alkylate,gerund-plural,False,,alkylatings,1,twl_scrabble_dictionary
alkylated,plural,False,,alkylateds,1,twl_scrabble_dictionary
alkylselenophene,plural,False,,alkylselenophenes,1,
alkylsilver,plural,False,,alkylsilvers,1,
alkylsulfate,verb-form,False,,alkylsulfated alkylsulfating,2,
alkylsulfinyl,plural,False,,alkylsulfinyls,1,
alkylsulfonamido,plural,False,,alkylsulfonamidos,1,
alkylsulfonate,verb-form,False,,alkylsulfonated alkylsulfonating,2,
alkylsulfonic,plural,False,,alkylsulfonics,1,
alkylsulfonylamino,plural,False,,alkylsulfonylaminos,1,
alkylsulfoxide,plural,False,,alkylsulfoxides,1,
alkylsulphonate,verb-form,False,,alkylsulphonated alkylsulphonating,2,
alkylsulphonic,plural,False,,alkylsulphonics,1,
alkylthienyl,plural,False,,alkylthienyls,1,
alkylthioacetic,plural,False,,alkylthioacetics,1,
alkylthiophenium,plural,False,,alkylthiopheniums,1,
alkylthiophenyl,plural,False,,alkylthiophenyls,1,
alkylthymidine,plural,False,,alkylthymidines,1,
alkyltrichlorophosphonium,plural,False,,alkyltrichlorophosphoniums,1,
alkyltrimethylene,plural,False,,alkyltrimethylenes,1,
